iter	Passed	Remaining
0	8	882
1	14	699
2	22	725
3	30	735
4	35	675
5	41	650
6	46	613
7	51	587
8	57	584
9	62	566
10	67	544
11	72	529
12	75	505
13	81	500
14	94	535
15	113	593
16	118	580
17	124	566
18	130	555
19	135	543
20	140	530
21	147	521
22	153	513
23	160	508
24	166	500
25	177	504
26	188	508
27	196	504
28	221	541
29	244	569
30	251	559
31	260	554
32	273	555
33	299	581
34	311	577
35	316	563
36	334	570
37	338	552
38	343	537
39	348	522
40	352	507
41	359	496
42	365	484
43	371	472
44	376	460
45	380	447
46	386	436
47	395	428
48	400	417
49	412	412
50	418	401
51	425	392
52	430	381
53	435	371
54	440	360
55	445	350
56	449	339
57	455	330
58	462	321
59	468	312
60	474	303
61	480	294
62	487	286
63	492	276
64	500	269
65	505	260
66	510	251
67	518	244
68	525	235
69	530	227
70	536	219
71	548	213
72	553	204
73	560	196
74	565	188
75	569	179
76	574	171
77	578	163
78	583	155
79	588	147
80	593	139
81	598	131
82	602	123
83	606	115
84	612	108
85	617	100
86	646	96
87	651	88
88	658	81
89	663	73
90	669	66
91	674	58
92	680	51
93	686	43
94	696	36
95	704	29
96	711	22
97	727	14
98	734	7
99	738	0
