iter	RMSE
0	0.815772682
1	0.7841794689
2	0.7557360554
3	0.7299095656
4	0.7055770355
5	0.6827430367
6	0.6624040792
7	0.6442736625
8	0.627119396
9	0.6109539148
10	0.596917686
11	0.58430604
12	0.5729499647
13	0.5615850849
14	0.5520071284
15	0.542849466
16	0.5343528018
17	0.5266970568
18	0.5195471481
19	0.5130929205
20	0.5067333444
21	0.5012110748
22	0.4962649401
23	0.4914617704
24	0.4865176109
25	0.4817231653
26	0.477929203
27	0.4743164352
28	0.4712399693
29	0.4680760161
30	0.4653956658
31	0.4625600959
32	0.4604277562
33	0.4579812621
34	0.4560927242
35	0.4539046927
36	0.4520200923
37	0.4495066902
38	0.4475553069
39	0.4457401893
40	0.444124222
41	0.4426565468
42	0.4415747949
43	0.4402387549
44	0.4390078212
45	0.4373543315
46	0.4361590894
47	0.4348686507
48	0.4335984644
49	0.4323540559
50	0.4311169989
51	0.43004004
52	0.4288347105
53	0.4278207388
54	0.4267326232
55	0.4257393979
56	0.4247098156
57	0.4237553489
58	0.4230236043
59	0.4221141354
60	0.4212421639
61	0.4203536937
62	0.419448867
63	0.4184180612
64	0.4174227949
65	0.4165938888
66	0.4158160185
67	0.4150868466
68	0.4142571385
69	0.4133091887
70	0.4124548342
71	0.4114489198
72	0.4105881387
73	0.409896968
74	0.4092786478
75	0.4087349172
76	0.4079313639
77	0.4072991952
78	0.4062492289
79	0.4057487989
80	0.4049876545
81	0.404438505
82	0.4037876994
83	0.4030540495
84	0.4024425482
85	0.401631863
86	0.4009116676
87	0.400108635
88	0.3994788535
89	0.3989031744
90	0.3983063176
91	0.3975273791
92	0.3969049149
93	0.3962502705
94	0.3958747209
95	0.395239053
96	0.3944977055
97	0.3938453266
98	0.3931037484
99	0.3927019009
100	0.3920927375
101	0.3915179448
102	0.3909311013
103	0.3902450928
104	0.3898446242
105	0.3892458739
106	0.3886947598
107	0.3881284778
108	0.387198294
109	0.3867604005
110	0.3862558935
111	0.3857072766
112	0.3850601072
113	0.384522406
114	0.3839400526
115	0.3834644799
116	0.3828589998
117	0.3824254296
118	0.3818987315
119	0.3813692781
120	0.3808602534
121	0.3803941942
122	0.3799740383
123	0.3793208449
124	0.3788550732
125	0.3784031074
126	0.3780249763
127	0.3776263372
128	0.3768963128
129	0.3765034183
130	0.3760490415
131	0.3754024074
132	0.3750473558
133	0.3744543921
134	0.3739126695
135	0.3734341676
136	0.372906953
137	0.3724605198
138	0.3719786861
139	0.3715519735
140	0.371122442
141	0.3706616529
142	0.3703930292
143	0.3698456614
144	0.369374057
145	0.3689029018
146	0.3686823506
147	0.3682036672
148	0.367791908
149	0.3674235281
150	0.367053804
151	0.3665819602
152	0.3659835463
153	0.36551153
154	0.3650257376
155	0.3646164128
156	0.3642656684
157	0.3638081622
158	0.3633749574
159	0.3630640819
160	0.3626270831
161	0.3622095575
162	0.3618724812
163	0.3612386553
164	0.3607512789
165	0.3601542911
166	0.3596391953
167	0.3594232786
168	0.3590468344
169	0.3588382354
170	0.3583999883
171	0.3578787887
172	0.3574604136
173	0.3570608599
174	0.3566636026
175	0.3564637925
176	0.3561177168
177	0.355932552
178	0.3555030715
179	0.355144908
180	0.3546125394
181	0.354174305
182	0.3537404768
183	0.3533575016
184	0.3529352554
185	0.3525805868
186	0.3524147708
187	0.3520293761
188	0.3515689151
189	0.3511914319
190	0.350805775
191	0.350647208
192	0.3503422857
193	0.3499855523
194	0.3498032722
195	0.3494292325
196	0.3489404213
197	0.3485607187
198	0.3479324821
199	0.3477842804
200	0.3473455561
201	0.3469586813
202	0.3466071733
203	0.3463086362
204	0.3461642477
205	0.3458202883
206	0.3454549138
207	0.3450959843
208	0.3446747011
209	0.3443014067
210	0.3441888654
211	0.3439013392
212	0.3436107119
213	0.3432629132
214	0.342915124
215	0.3427413445
216	0.3423697284
217	0.3420294765
218	0.3417166387
219	0.3413884349
220	0.3411229079
221	0.3407802876
222	0.3406455091
223	0.3403034304
224	0.3399656669
225	0.3396313026
226	0.3393964115
227	0.3390719116
228	0.3389659
229	0.3386718169
230	0.3383417995
231	0.3381537202
232	0.3380256469
233	0.3377065309
234	0.337332623
235	0.3370524465
236	0.336735688
237	0.3364277292
238	0.3361699581
239	0.3358753981
240	0.3355723478
241	0.3354708029
242	0.3350702689
243	0.3347499595
244	0.334439352
245	0.3342578307
246	0.3340039141
247	0.3339050487
248	0.3335220933
249	0.3332221868
250	0.3329831488
251	0.3326872777
252	0.3323747185
253	0.332106296
254	0.3318031062
255	0.3315093448
256	0.3312145372
257	0.3310935783
258	0.3309238292
259	0.3306450548
260	0.3303631861
261	0.3301364684
262	0.3297778922
263	0.3294910356
264	0.3293810212
265	0.3290929944
266	0.3288935701
267	0.3286339033
268	0.3283026022
269	0.3279256155
270	0.3276509567
271	0.3273826116
272	0.3272663922
273	0.3268883682
274	0.3266153656
275	0.3263713098
276	0.3261513703
277	0.325880444
278	0.3257162098
279	0.3256108495
280	0.3253498821
281	0.3250096749
282	0.3247381972
283	0.3244674534
284	0.3241467736
285	0.3238951902
286	0.3236654472
287	0.3234074383
288	0.3232775854
289	0.3230267424
290	0.3227675156
291	0.3226653415
292	0.3224708694
293	0.3222253626
294	0.3220514989
295	0.3219510844
296	0.3216928621
297	0.3214098235
298	0.3212011327
299	0.3210555158
300	0.3207761091
301	0.3205103971
302	0.3202911833
303	0.3200663368
304	0.3197960916
305	0.3194265958
306	0.3191849206
307	0.3190723396
308	0.3188700223
309	0.318636142
310	0.3185397159
311	0.318296701
312	0.3180432419
313	0.3177910773
314	0.3176327396
315	0.3174100453
316	0.3171659291
317	0.3169269082
318	0.3168320939
319	0.3165640084
320	0.3163904815
321	0.3162578963
322	0.3159795966
323	0.3157553163
324	0.3155166086
325	0.3152817896
326	0.315086562
327	0.3148574897
328	0.3145065898
329	0.3143996598
330	0.3143161367
331	0.3140871025
332	0.3138997331
333	0.313692381
334	0.3134373568
335	0.3132998283
336	0.3130767481
337	0.3128683649
338	0.3126436673
339	0.3125534753
340	0.3123811128
341	0.3122789914
342	0.312072128
343	0.3117749011
344	0.3115652486
345	0.3113404967
346	0.3110596254
347	0.3109233936
348	0.3108233914
349	0.3106243471
350	0.3104064478
351	0.3101834749
352	0.3101279908
353	0.3098635931
354	0.3096479947
355	0.3094580962
356	0.3092909103
357	0.3090963785
358	0.3089981663
359	0.3088040147
360	0.3085509239
361	0.3083432308
362	0.3082167666
363	0.3081630406
364	0.3079570149
365	0.3077740009
366	0.3075699385
367	0.3073193724
368	0.3071204418
369	0.3069621523
370	0.3067678765
371	0.3065858231
372	0.306489167
373	0.3062889073
374	0.3060284635
375	0.3058934938
376	0.3058413652
377	0.3057442887
378	0.3055465002
379	0.3053677073
380	0.305273359
381	0.3051811128
382	0.3050913468
383	0.3049801128
384	0.3048932329
385	0.3046916198
386	0.304498108
387	0.3043404273
388	0.3041253111
389	0.3040404531
390	0.3039894855
391	0.3037545728
392	0.3034438727
393	0.3032567897
394	0.3029738051
395	0.3027937159
396	0.3025957316
397	0.3024048043
398	0.3023550803
399	0.3022061175
400	0.3020169626
401	0.3018602279
402	0.3017281667
403	0.3016446424
404	0.3014532926
405	0.3012465078
406	0.3010417052
407	0.3008516949
408	0.3006686941
409	0.3005129267
410	0.300330262
411	0.3002815632
412	0.3001693666
413	0.2999960523
414	0.2998113432
415	0.2996090846
416	0.2993129907
417	0.2991348768
418	0.2988073089
419	0.2986510315
420	0.2984906803
421	0.2983161596
422	0.2982684496
423	0.2981825614
424	0.2980035707
425	0.2978209135
426	0.2976891605
427	0.2976050923
428	0.2974368465
429	0.2973128282
430	0.2971707994
431	0.2970041294
432	0.2969575029
433	0.2967903675
434	0.2966225345
435	0.2964223557
436	0.2963129256
437	0.2960483662
438	0.2958728922
439	0.295789961
440	0.2956435363
441	0.2955614928
442	0.2953982278
443	0.2952309483
444	0.2950207789
445	0.2948300315
446	0.2946496625
447	0.2944858065
448	0.2943297787
449	0.2941045874
450	0.2940587518
451	0.2938852019
452	0.2938044645
453	0.293567852
454	0.2933974442
455	0.2932303302
456	0.2930858318
457	0.2929818851
458	0.29285913
459	0.2927031608
460	0.2926236054
461	0.2925789132
462	0.2925005441
463	0.2922187432
464	0.2920910633
465	0.2919345543
466	0.2917761336
467	0.2916612315
468	0.2915050658
469	0.2913689523
470	0.2912174698
471	0.2911045867
472	0.2909400062
473	0.2908626028
474	0.2908184468
475	0.2907243188
476	0.2905711323
477	0.2904253114
478	0.2902284592
479	0.2900427406
480	0.2898856771
481	0.289775812
